Position,Evaluation
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,39
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,36
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,37
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,38
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,20
rnbqkbnr/pp3ppp/2p1p3/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,185
rnbqkbnr/pp3ppp/2p1P3/8/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 4,179
rnbqkbnr/pp4pp/2p1p3/8/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,227
rnbqkbnr/pp4pp/2p1p3/8/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 5,241
rnbqk1nr/pp4pp/2p1p3/8/1b1P4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 6,267
rnbqk1nr/pp4pp/2p1p3/8/1b1P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 6,221
rnbqk1nr/pp4pp/2p1p3/b7/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 7,286
rnbqk1nr/pp4pp/2p1p3/b7/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 7,271
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,29
r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,73
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,61
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,69
r1bqkbnr/pppp1ppp/2n5/4p3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-113
r1bqkbnr/pppp2pp/2n2p2/4p3/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 0 4,115
r1bqkbnr/pppp2pp/2n2p2/4P3/4PP2/8/PPP3PP/RNBQKBNR b KQkq - 0 4,67
r1bqkbnr/pppp2pp/2n5/4p3/4PP2/8/PPP3PP/RNBQKBNR w KQkq - 0 5,82
r1bqkbnr/pppp2pp/2n5/4P3/4P3/8/PPP3PP/RNBQKBNR b KQkq - 0 5,-148
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNBQKBNR w KQkq - 0 6,49
r1bqkbnr/pppp2pp/8/4n3/3QP3/8/PPP3PP/RNB1KBNR b KQkq - 1 6,-13
r1bqkbnr/pppp2pp/2n5/8/3QP3/8/PPP3PP/RNB1KBNR w KQkq - 2 7,4
r1bqkbnr/pppp2pp/2n5/4Q3/4P3/8/PPP3PP/RNB1KBNR b KQkq - 3 7,-675
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNB1KBNR w KQkq - 0 8,-722
r1bqkbnr/pppp2pp/8/4n3/2P1P3/8/PP4PP/RNB1KBNR b KQkq - 0 8,-883
r1bqk1nr/pppp2pp/8/4n3/1bP1P3/8/PP4PP/RNB1KBNR w KQkq - 1 9,-782
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,45
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,44
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,19
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3PB3/PPP2PPP/RN1QKBNR b KQkq - 1 3,3
rnbqkbnr/pp3ppp/2pp4/4p3/4P3/3PB3/PPP2PPP/RN1QKBNR w KQkq - 0 4,19
rnbqkbnr/pp3ppp/2pp4/4p3/4P3/3PB3/PPP1BPPP/RN1QK1NR b KQkq - 1 4,-2
rnbqkbnr/p4ppp/2pp4/1p2p3/4P3/3PB3/PPP1BPPP/RN1QK1NR w KQkq - 0 5,63
rnbqkbnr/p4ppp/2pp4/1p2p3/4P3/3PB3/PPPNBPPP/R2QK1NR b KQkq - 1 5,54
rnbqkbnr/5ppp/2pp4/pp2p3/4P3/3PB3/PPPNBPPP/R2QK1NR w KQkq - 0 6,65
rnbqkbnr/5ppp/2pp4/pp2p3/P3P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 6,62
rnbqkbnr/5ppp/3p4/ppp1p3/P3P3/3PB3/1PPNBPPP/R2QK1NR w KQkq - 0 7,246
rnbqkbnr/5ppp/3p4/pPp1p3/4P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 7,242
r1bqkbnr/5ppp/2np4/pPp1p3/4P3/3PB3/1PPNBPPP/R2QK1NR w KQkq - 1 8,560
r1bqkbnr/5ppp/2Pp4/p1p1p3/4P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 8,565
2bqkbnr/5ppp/r1Pp4/p1p1p3/4P3/3PB3/1PPNBPPP/R2QK1NR w KQk - 1 9,614
2bqkbnr/5ppp/r1Pp4/p1p1p3/2N1P3/3PB3/1PP1BPPP/R2QK1NR b KQk - 2 9,594
2bqkbnr/5ppp/r1Pp4/2p1p3/p1N1P3/3PB3/1PP1BPPP/R2QK1NR w KQk - 0 10,614
2bqkbnr/5ppp/r1Pp4/2p1p3/p1N1P3/2PPB3/1P2BPPP/R2QK1NR b KQk - 0 10,589
2bqkbnr/5ppp/r1Pp4/2p1p3/2N1P3/p1PPB3/1P2BPPP/R2QK1NR w KQk - 0 11,629
2bqkbnr/5ppp/r1Pp4/2p1p3/4P3/N1PPB3/1P2BPPP/R2QK1NR b KQk - 0 11,613
2bqkbnr/5ppp/2Pp4/2p1p3/4P3/r1PPB3/1P2BPPP/R2QK1NR w KQk - 0 12,675
2bqkbnr/5ppp/2Pp4/2p1p3/4P3/R1PPB3/1P2BPPP/3QK1NR b Kk - 0 12,652
2bqkbnr/5ppp/2Pp4/4p3/2p1P3/R1PPB3/1P2BPPP/3QK1NR w Kk - 0 13,737
2bqkbnr/5ppp/2Pp4/4p3/2P1P3/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 13,710
2bqkbnr/5ppp/2P5/3pp3/2P1P3/R1P1B3/1P2BPPP/3QK1NR w Kk - 0 14,769
2bqkbnr/5ppp/2P5/3Pp3/4P3/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 14,672
2b1kbnr/5ppp/2P5/3qp3/4P3/R1P1B3/1P2BPPP/3QK1NR w Kk - 0 15,1593
2b1kbnr/5ppp/2P5/3Pp3/8/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 15,1051
4kbnr/5ppp/2P1b3/3Pp3/8/R1P1B3/1P2BPPP/3QK1NR w Kk - 1 16,Mate in <bound method Mate.mate of Mate(+5)>
R3kbnr/5ppp/2P1b3/3Pp3/8/2P1B3/1P2BPPP/3QK1NR b Kk - 2 16,Mate in <bound method Mate.mate of Mate(-5)>
R4bnr/4kppp/2P1b3/3Pp3/8/2P1B3/1P2BPPP/3QK1NR w K - 3 17,Mate in <bound method Mate.mate of Mate(+5)>
R4bnr/4kppp/2P1b3/2BPp3/8/2P5/1P2BPPP/3QK1NR b K - 4 17,1548
R4bnr/5ppp/2P1bk2/2BPp3/8/2P5/1P2BPPP/3QK1NR w K - 5 18,1609
R4Bnr/5ppp/2P1bk2/3Pp3/8/2P5/1P2BPPP/3QK1NR b K - 0 18,1686
R4Bnr/5ppp/2P1b1k1/3Pp3/8/2P5/1P2BPPP/3QK1NR w K - 1 19,Mate in <bound method Mate.mate of Mate(+6)>
R5nr/5pBp/2P1b1k1/3Pp3/8/2P5/1P2BPPP/3QK1NR b K - 0 19,1470
R5nr/5pkp/2P1b3/3Pp3/8/2P5/1P2BPPP/3QK1NR w K - 0 20,1589
R5nr/5pkp/2P1P3/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 20,1626
R5nr/5p1p/2P1P2k/4p3/8/2P5/1P2BPPP/3QK1NR w K - 1 21,Mate in <bound method Mate.mate of Mate(+6)>
R5nr/5P1p/2P4k/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 21,Mate in <bound method Mate.mate of Mate(-5)>
R6r/5P1p/2P2n1k/4p3/8/2P5/1P2BPPP/3QK1NR w K - 1 22,Mate in <bound method Mate.mate of Mate(+5)>
7R/5P1p/2P2n1k/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 22,Mate in <bound method Mate.mate of Mate(-4)>
7R/5P1p/2P4k/4p2n/8/2P5/1P2BPPP/3QK1NR w K - 1 23,Mate in <bound method Mate.mate of Mate(+3)>
7R/5P1p/2P4k/4p2B/8/2P5/1P3PPP/3QK1NR b K - 0 23,Mate in <bound method Mate.mate of Mate(-2)>
7R/5P1p/2P5/4p1kB/8/2P5/1P3PPP/3QK1NR w K - 1 24,Mate in <bound method Mate.mate of Mate(+2)>
8/5P1R/2P5/4p1kB/8/2P5/1P3PPP/3QK1NR b K - 0 24,Mate in <bound method Mate.mate of Mate(-2)>
